epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3074.74,1.71044,3.96721,0.00562,0.58245,0.22535,0.21546,0.12639,1.51079,2.02119,0.00894,0.000277481,0.000277481,0.000277481
2,5895.87,1.56654,2.08476,0.00506,0.44694,0.27247,0.26872,0.15934,1.46195,1.57455,0.00863,0.00028035,0.00028035,0.00028035
